image,whole_image_class,whole_sim,num_crops,crop_summary
100_jpg.rf.14fa87ff511c6790858ccbc03bf10be6.jpg,Looper Caterpillar,0.4608,2,id3->Leaf-Hopper(0.576); id2->Leaf-Hopper(0.563)
107_jpg.rf.9c0264c78b1f4dfff87adea98349df8b.jpg,Leaf-Hopper,0.5425,2,id2->Looper Caterpillar(0.604); id2->Leaf-Hopper(0.510)
11_jpg.rf.c2fdfa5777e0527fd7fd2292e51a896a.jpg,Leaf-Hopper,0.4694,2,id3->Leaf-Hopper(0.575); id3->Leaf-Hopper(0.579)
121_jpg.rf.ab585552a4145906dbdce2bc02a016ce.jpg,Leaf-blight,0.3777,2,id0->Leaf-Hopper(0.403); id0->Leaf-Hopper(0.506)
12_jpg.rf.ccb27c583cbe7cb7dbc6d9ddbb45d307.jpg,Leaf-Hopper,0.456,1,id2->Leaf-Hopper(0.545)
131_jpg.rf.165468b77bd7d0a07c9e9f8b76e9c465.jpg,Looper Caterpillar,0.4784,2,id0->Leaf-Hopper(0.492); id0->Leaf-Hopper(0.516)
133_jpg.rf.c96fa521c1eec792a6d2f7c8e2865e0b.jpg,Leaf-Hopper,0.5107,2,id0->Leaf-blight(0.478); id0->Looper Caterpillar(0.398)
134_jpg.rf.6a2263efa78d5f94b5c49afacbc2ccc0.jpg,Leaf-Hopper,0.4762,2,id3->Leaf-Hopper(0.554); id3->Leaf-Hopper(0.529)
148_jpg.rf.efc3744194c4eba08a20cf4916271426.jpg,Leaf-Hopper,0.5243,1,id3->Leaf-Hopper(0.545)
158_jpg.rf.1080ecbeb37f6e24c47023105c1aedaa.jpg,Looper Caterpillar,0.5064,2,id0->Leaf-Hopper(0.557); id2->Leaf-Hopper(0.554)
161_jpg.rf.10a43a745af2297624281f2bb68cb61a.jpg,Leaf-Hopper,0.4312,1,id3->Leaf-Hopper(0.555)
166_jpg.rf.b7b6100902742c9d1a47195e12f41189.jpg,Leaf-Hopper,0.5276,1,id1->Leaf-Hopper(0.555)
171_jpg.rf.529e8b62ab8acb20ea3c2b25e209ffc7.jpg,Leaf-Hopper,0.579,2,id3->Leaf-Hopper(0.567); id3->Leaf-Hopper(0.627)
174_jpg.rf.51c7b0e65d30a9fcc6c8256a9a1a299d.jpg,Leaf-Hopper,0.5731,1,id1->Leaf-Hopper(0.568)
176_jpg.rf.22c6639b34be422c6e74812048a8e199.jpg,Looper Caterpillar,0.5901,1,id0->Looper Caterpillar(0.553)
179_jpg.rf.38923227f6f2518ea7f9372aa6fcaa0b.jpg,Looper Caterpillar,0.4767,2,id0->Looper Caterpillar(0.599); id0->Looper Caterpillar(0.552)
195_jpg.rf.b2f97109c9e2d5652e036a4d3a9c2816.jpg,Looper Caterpillar,0.4648,1,id0->Leaf Rust(0.502)
1_jpg.rf.e83e207fa2a3ec5a65f9d9f5cbfaac3a.jpg,Leaf-Hopper,0.4362,4,id3->Leaf-Hopper(0.595); id0->Looper Caterpillar(0.442); id0->Leaf-Hopper(0.524); id0->Looper Caterpillar(0.457)
202_jpg.rf.14df16a500394d0889ea7be2ca2277ca.jpg,Leaf-Hopper,0.3409,1,id0->Leaf-Hopper(0.464)
219_jpg.rf.efaa45291ba0a03e4c1e7d1cf637d259.jpg,Leaf-Hopper,0.6072,2,id3->Leaf-Hopper(0.564); id3->Leaf-Hopper(0.490)
221_jpg.rf.018ee71046060f98063487d4c30eb68d.jpg,Leaf-Hopper,0.5257,3,id2->Leaf-Hopper(0.546); id3->Leaf-Hopper(0.545); id2->Leaf-Hopper(0.551)
225_jpg.rf.64509b43824423881ac2fb1391de7c06.jpg,Leaf-Hopper,0.3819,8,id2->Leaf-Hopper(0.532); id2->Looper Caterpillar(0.390); id0->Leaf-Hopper(0.354); id2->Leaf-Hopper(0.516); id2->Leaf Rust(0.399); id2->Leaf-Hopper(0.506); id2->Leaf-Hopper(0.460); id0->Leaf-Hopper(0.449)
22_jpg.rf.b563c170f475a98253e29e444debeaf9.jpg,Leaf-Hopper,0.4481,1,id4->Leaf-Hopper(0.425)
232_jpg.rf.b661ff5ef1a851ca667b582b38a2f730.jpg,Leaf-Hopper,0.4836,2,id2->Leaf Rust(0.552); id0->Leaf Rust(0.542)
239_jpg.rf.4a88c11b21478e901d7751b9c8f82093.jpg,Looper Caterpillar,0.5495,2,id3->Looper Caterpillar(0.571); id0->Leaf-Hopper(0.557)
246_jpg.rf.1213826e3cca77475ee465052bae47ad.jpg,Leaf-Hopper,0.5025,1,id3->Leaf-Hopper(0.581)
249_jpg.rf.3ce7b97ed827dbddab462c65972c87ce.jpg,Leaf-Hopper,0.5978,1,id3->Leaf-Hopper(0.619)
262_jpg.rf.533171c56729f4edc18270dabf6f5b68.jpg,Leaf Rust,0.5248,1,id0->Leaf Rust(0.523)
