# SYNTHETIC weather assignment for LEAF tea crops -- NOT capture provenance.
# Dates are hashed from (image_file, box_idx), independently of class label.
image_file,box_idx,assigned_date,tmax,tmin,tmean,rh_am,rh_pm,rain_mm,rain_7d,rainless_days,sunshine_hours,vpd_kpa
100_jpg.rf.14fa87ff511c6790858ccbc03bf10be6.jpg,0,2025-04-04,33.8,22.2,28.0,81.0,55.0,0.0,3.2,1.0,0.4,1.209577716478484
100_jpg.rf.14fa87ff511c6790858ccbc03bf10be6.jpg,1,2024-02-09,26.5,13.0,19.75,68.0,52.0,0.0,0.0,7.0,5.4,0.9209354512173692
107_jpg.rf.9c0264c78b1f4dfff87adea98349df8b.jpg,0,2025-03-30,36.5,22.8,29.65,83.0,36.0,0.0,0.0,8.0,7.2,1.684242910887892
107_jpg.rf.9c0264c78b1f4dfff87adea98349df8b.jpg,1,2025-06-19,27.5,22.5,25.0,73.5,65.0,38.2,52.8,0.0,0.0,0.9740916481333556
11_jpg.rf.c2fdfa5777e0527fd7fd2292e51a896a.jpg,0,2024-12-09,27.2,14.6,20.9,78.0,66.0,0.0,0.0,9.0,0.0,0.69209561249434
11_jpg.rf.c2fdfa5777e0527fd7fd2292e51a896a.jpg,1,2025-05-19,35.6,26.0,30.8,76.0,61.0,0.0,23.199999999999996,6.0,7.0,1.39913269619785
121_jpg.rf.ab585552a4145906dbdce2bc02a016ce.jpg,0,2025-12-28,24.0,10.8,17.4,67.0,49.5,0.0,0.0,59.0,6.0,0.8297383263666416
121_jpg.rf.ab585552a4145906dbdce2bc02a016ce.jpg,1,2026-02-02,28.6,15.4,22.0,82.0,61.0,0.0,0.0,95.0,8.2,0.7535203897800141
12_jpg.rf.ccb27c583cbe7cb7dbc6d9ddbb45d307.jpg,0,2025-06-21,34.6,25.8,30.200000000000003,73.5,65.0,0.0,59.400000000000006,1.0,2.8,1.3197847855637501
131_jpg.rf.165468b77bd7d0a07c9e9f8b76e9c465.jpg,0,2024-03-06,30.0,19.6,24.8,64.0,57.0,0.0,0.0,19.0,7.2,1.236442911628647
131_jpg.rf.165468b77bd7d0a07c9e9f8b76e9c465.jpg,1,2026-03-30,33.0,24.8,28.9,78.0,54.5,0.0,20.400000000000013,2.0,7.5,1.3441231684106807
133_jpg.rf.c96fa521c1eec792a6d2f7c8e2865e0b.jpg,0,2024-06-01,35.5,26.4,30.95,73.0,54.0,0.0,38.6,5.0,4.0,1.6351341803867783
133_jpg.rf.c96fa521c1eec792a6d2f7c8e2865e0b.jpg,1,2026-03-01,35.0,19.5,27.25,64.0,54.5,0.0,12.200000000000014,5.0,6.0,1.4743217845439633
134_jpg.rf.6a2263efa78d5f94b5c49afacbc2ccc0.jpg,0,2024-04-13,36.5,22.6,29.55,52.0,39.0,0.0,1.6,18.0,8.5,2.2534489253319085
134_jpg.rf.6a2263efa78d5f94b5c49afacbc2ccc0.jpg,1,2024-11-05,31.0,22.2,26.6,73.0,71.0,0.0,0.0,8.0,4.8,0.9751064096076801
148_jpg.rf.efc3744194c4eba08a20cf4916271426.jpg,0,2024-03-22,29.0,18.4,23.7,75.0,64.0,0.0,57.4,1.0,7.8,0.8938352492794112
158_jpg.rf.1080ecbeb37f6e24c47023105c1aedaa.jpg,0,2024-10-28,32.5,24.2,28.35,95.0,66.0,20.2,192.8,0.0,5.8,0.7522414361916206
158_jpg.rf.1080ecbeb37f6e24c47023105c1aedaa.jpg,1,2026-06-09,37.2,26.5,31.85,73.5,65.0,0.0,27.20000000000002,1.0,0.0,1.449745753806233
161_jpg.rf.10a43a745af2297624281f2bb68cb61a.jpg,0,2026-08-05,33.0,26.5,29.75,88.0,73.5,0.4,77.50000000000003,1.0,0.0,0.8051504786093411
166_jpg.rf.b7b6100902742c9d1a47195e12f41189.jpg,0,2024-10-20,31.0,23.4,27.2,86.0,86.0,0.0,27.8,1.0,4.9,0.5050343623535719
171_jpg.rf.529e8b62ab8acb20ea3c2b25e209ffc7.jpg,0,2024-03-23,32.5,21.0,26.75,92.0,59.0,0.0,43.4,2.0,8.0,0.8607783011620752
171_jpg.rf.529e8b62ab8acb20ea3c2b25e209ffc7.jpg,1,2026-07-22,30.6,25.0,27.8,85.0,75.0,16.8,157.60000000000002,0.0,0.0,0.747226988151441
174_jpg.rf.51c7b0e65d30a9fcc6c8256a9a1a299d.jpg,0,2024-01-25,22.2,12.5,17.35,78.0,88.0,0.0,0.0,25.0,0.6,0.33679182153875986
176_jpg.rf.22c6639b34be422c6e74812048a8e199.jpg,0,2024-10-24,29.0,23.0,26.0,95.0,95.0,0.6,28.4,5.0,0.0,0.16807199143012833
179_jpg.rf.38923227f6f2518ea7f9372aa6fcaa0b.jpg,0,2024-09-29,35.0,26.0,30.5,74.0,64.0,0.0,135.0,1.0,9.6,1.3535465893554555
179_jpg.rf.38923227f6f2518ea7f9372aa6fcaa0b.jpg,1,2025-03-06,31.2,18.0,24.6,51.0,42.0,0.0,0.0,74.0,0.4,1.6547985112945602
195_jpg.rf.b2f97109c9e2d5652e036a4d3a9c2816.jpg,0,2026-06-01,37.0,26.5,31.75,73.5,65.0,0.0,17.00000000000002,1.0,10.0,1.4415643803220113
1_jpg.rf.e83e207fa2a3ec5a65f9d9f5cbfaac3a.jpg,0,2024-07-04,32.8,25.2,29.0,92.0,75.0,17.8,33.2,0.0,1.6,0.6609368040141771
1_jpg.rf.e83e207fa2a3ec5a65f9d9f5cbfaac3a.jpg,1,2024-01-20,19.5,12.5,16.0,78.0,88.0,0.0,0.0,20.0,3.6,0.30910873568254366
1_jpg.rf.e83e207fa2a3ec5a65f9d9f5cbfaac3a.jpg,2,2026-07-24,31.0,24.6,27.8,85.0,75.0,7.8,142.40000000000003,0.0,0.0,0.747226988151441
1_jpg.rf.e83e207fa2a3ec5a65f9d9f5cbfaac3a.jpg,3,2025-03-27,37.4,22.5,29.95,76.0,47.0,0.0,16.8,5.0,9.4,1.6289009607729508
202_jpg.rf.14df16a500394d0889ea7be2ca2277ca.jpg,0,2025-11-19,29.0,16.0,22.5,73.0,65.0,0.0,0.0,20.0,7.6,0.8449321580476925
219_jpg.rf.efaa45291ba0a03e4c1e7d1cf637d259.jpg,0,2024-08-23,31.8,27.5,29.65,92.0,92.0,30.2,117.0,0.0,0.0,0.3326899577062501
219_jpg.rf.efaa45291ba0a03e4c1e7d1cf637d259.jpg,1,2024-10-26,31.0,23.2,27.1,97.0,82.0,82.0,170.60000000000002,0.0,0.0,0.3765626094668608
221_jpg.rf.018ee71046060f98063487d4c30eb68d.jpg,0,2024-07-07,34.0,25.8,29.9,85.0,64.0,0.0,52.8,1.0,8.0,1.0757910411152376
221_jpg.rf.018ee71046060f98063487d4c30eb68d.jpg,1,2025-04-12,34.4,22.0,28.2,68.0,63.0,0.0,17.6,1.0,8.8,1.3193393462286473
221_jpg.rf.018ee71046060f98063487d4c30eb68d.jpg,2,2024-08-25,30.5,26.0,28.25,93.0,31.86,2.2,129.8,1.0,0.0,1.440923187374964
225_jpg.rf.64509b43824423881ac2fb1391de7c06.jpg,0,2026-07-08,33.2,26.2,29.700000000000003,85.0,75.0,0.6,80.80000000000004,1.0,1.0,0.8341194393299203
225_jpg.rf.64509b43824423881ac2fb1391de7c06.jpg,1,2024-06-23,36.5,27.8,32.15,72.0,53.0,0.0,4.399999999999999,2.0,9.3,1.7982101929361
225_jpg.rf.64509b43824423881ac2fb1391de7c06.jpg,2,2025-02-24,29.5,16.8,23.15,83.0,58.0,0.0,0.0,64.0,4.9,0.8363331896614329
