text,labels,label_name,source
Please deliver a comprehensive description of this plant and its current status. The causal agent is the Tomato Yellow Leaf Curl Virus.,[3],disease_risk,pvvqa_argilla
"What disease, if any, is visible on this Potato leaf? The plant is suffering from a Late Blight infection.",[3],disease_risk,pvvqa_argilla
Can you determine what's causing the visible distress in this tomato foliage? The plant is affected by Bacterial Spot disease.,[3],disease_risk,pvvqa_argilla
"What pathological issue is this plant facing? The numerous small, angular spots are characteristic of Bacterial Spot.",[3],disease_risk,pvvqa_argilla
"What infectious agent, if any, is causing symptoms on this tomato leaf? The disease is Target Spot, marked by dark, concentric 'bullseye' lesions.",[3],disease_risk,pvvqa_argilla
What cause produces these manifestations? The diagnosis is Tomato Yellow Leaf Curl Virus (TYLCV).,[3],disease_risk,pvvqa_argilla
"Which causal agents are responsible for this tomato leaf's abnormal appearance? This is Bacterial Spot. Note the small, dark, water-soaked lesions.",[3],disease_risk,pvvqa_argilla
What causative elements are behind the deterioration of this tomato leaf? The diagnosis is Tomato Yellow Leaf Curl Virus (TYLCV).,[3],disease_risk,pvvqa_argilla
Can you determine what's ailing this specimen? The diagnosis is Tomato Yellow Leaf Curl Virus (TYLCV).,[3],disease_risk,pvvqa_argilla
"Present a detailed analysis of the specimen's visual attributes and wellness factors. The disease is Target Spot, marked by dark, concentric 'bullseye' lesions.",[3],disease_risk,pvvqa_argilla
Take me through the foliage elements and features shown in this picture. These 'bullseye' lesions are a tell-tale sign of Early Blight.,[3],disease_risk,pvvqa_argilla
"What cause produces these manifestations? The fungus Alternaria solani, which causes Early Blight, is responsible.",[3],disease_risk,pvvqa_argilla
"Please provide an exhaustive description of this plant and its observable state. The numerous small, angular spots are characteristic of Bacterial Spot.",[3],disease_risk,pvvqa_argilla
"What pathogenic or environmental factors are affecting this tomato leaf's health? The numerous small, angular spots are characteristic of Bacterial Spot.",[3],disease_risk,pvvqa_argilla
Why is this plant displaying these symptoms? The plant is suffering from a fungal infection: Septoria Leaf Spot.,[3],disease_risk,pvvqa_argilla
What explains these pathological manifestations? The diagnosis is Bacterial Spot.,[3],disease_risk,pvvqa_argilla
"What is the cause of the unhealthy appearance of this Potato leaf? This is Late Blight, caused by the oomycete Phytophthora infestans.",[3],disease_risk,pvvqa_argilla
Which observable features and properties characterize this botanical sample? The diagnosis is Septoria Leaf Spot.,[3],disease_risk,pvvqa_argilla
Can you determine what's causing the visible distress in this tomato foliage? The plant is suffering from a fungal infection: Septoria Leaf Spot.,[3],disease_risk,pvvqa_argilla
"Would you provide a comprehensive visual examination of this plant? The fungus Alternaria solani, which causes Early Blight, is responsible.",[3],disease_risk,pvvqa_argilla
What specific factors have led to this tomato leaf's unhealthy manifestation? The plant is infected with Tomato Mosaic Virus.,[3],disease_risk,pvvqa_argilla
"Please provide a complete characterization of this plant and its observable state. This is Septoria Leaf Spot, characterized by small, circular spots with dark borders.",[3],disease_risk,pvvqa_argilla
What ailment has this plant contracted? These 'bullseye' lesions are a tell-tale sign of Early Blight.,[3],disease_risk,pvvqa_argilla
"Which visible features and identifying attributes are present in this botanical sample? This is Early Blight, identifiable by the 'target-like' concentric rings in the spots.",[3],disease_risk,pvvqa_argilla
"Which disease or problem specifically affects this specimen? The numerous small, angular spots are characteristic of Bacterial Spot.",[3],disease_risk,pvvqa_argilla
"How would you assess the general physiological state of this botanical sample? The numerous small, angular spots are characteristic of Bacterial Spot.",[3],disease_risk,pvvqa_argilla
Which elements generate these visual indicators? The symptoms are characteristic of Powdery mildew.,[3],disease_risk,pvvqa_argilla
Lead me through the leaf-related observations in this photograph. The condition is identified as Late Blight.,[3],disease_risk,pvvqa_argilla
Evaluate the image and present a thorough plant specimen synopsis. This is a Squash leaf suffering from Powdery mildew.,[3],disease_risk,pvvqa_argilla
"How would you assess the general health status of this plant specimen? This is Septoria Leaf Spot, characterized by small, circular spots with dark borders.",[3],disease_risk,pvvqa_argilla
"Review the photograph and deliver a summarized plant evaluation. The numerous small, angular spots are characteristic of Bacterial Spot.",[3],disease_risk,pvvqa_argilla
Lead me through the leaf features and conditions present in this picture. The leaf shows symptoms of Early Blight.,[3],disease_risk,pvvqa_argilla
What observable attributes and identifying characteristics are evident in this plant specimen? The diagnosis is Bacterial Spot.,[3],disease_risk,pvvqa_argilla
"What disease, if any, is visible on this Peach leaf? The numerous small, angular spots are characteristic of Bacterial Spot.",[3],disease_risk,pvvqa_argilla
What observable attributes and identifying characteristics are evident in this plant specimen? This is Tomato Mosaic Virus (ToMV).,[3],disease_risk,pvvqa_argilla
Examine this photograph and deliver a detailed botanical analysis. This is a Corn leaf suffering from Common rust.,[3],disease_risk,pvvqa_argilla
What pathogenic or environmental factors are affecting this tomato leaf's health? The diagnosis is Septoria Leaf Spot.,[3],disease_risk,pvvqa_argilla
Can you identify the etiology behind this tomato leaf's compromised state? The causal agent is the Tomato Yellow Leaf Curl Virus.,[3],disease_risk,pvvqa_argilla
I need an exhaustive description of this botanical sample and its condition. This is a fungal disease known as Leaf Mold.,[3],disease_risk,pvvqa_argilla
What apparent characteristics and observable properties define this plant specimen? The plant is affected by Bacterial Spot disease.,[3],disease_risk,pvvqa_argilla
"Can you determine what disease is impacting this tomato leaf sample? This is Bacterial Spot. Note the small, dark, water-soaked lesions.",[3],disease_risk,pvvqa_argilla
"What pathogen or environmental factor produces these symptoms? This is Septoria Leaf Spot, characterized by small, circular spots with dark borders.",[3],disease_risk,pvvqa_argilla
"Take me through the foliage elements and features shown in this picture. This is Septoria Leaf Spot, characterized by small, circular spots with dark borders.",[3],disease_risk,pvvqa_argilla
Walk me through the vegetation characteristics depicted in this image. This is a fungal disease known as Leaf Mold.,[3],disease_risk,pvvqa_argilla
"Based on symptom analysis, what is your final diagnosis? The diagnosis is Septoria Leaf Spot.",[3],disease_risk,pvvqa_argilla
Assess this picture and provide a summarized botanical evaluation. The plant is affected by Bacterial Spot disease.,[3],disease_risk,pvvqa_argilla
What underlying conditions are producing these symptoms on the tomato leaf? The plant is infected with Target Spot fungus.,[3],disease_risk,pvvqa_argilla
"Please detail the botanical specimens and features present in this image. The numerous small, angular spots are characteristic of Bacterial Spot.",[3],disease_risk,pvvqa_argilla
Outline the main subject and prominent features observable in this photograph. These 'bullseye' lesions are a tell-tale sign of Early Blight.,[3],disease_risk,pvvqa_argilla
"Convey all detectable aspects of this specimen's present health and appearance. The fungus Alternaria solani, which causes Early Blight, is responsible.",[3],disease_risk,pvvqa_argilla
"Walk me through the vegetation characteristics depicted in this image. This is Early Blight, identifiable by the 'target-like' concentric rings in the spots.",[3],disease_risk,pvvqa_argilla
"What explains the issues affecting this foliage? The numerous small, angular spots are characteristic of Bacterial Spot.",[3],disease_risk,pvvqa_argilla
Detail the primary focal point and significant features present in this photograph. The diagnosis is Bacterial Spot.,[3],disease_risk,pvvqa_argilla
"Can you diagnose any disease affecting this tomato plant tissue? This is Early Blight, identifiable by the 'target-like' concentric rings in the spots.",[3],disease_risk,pvvqa_argilla
"What disease, if any, is visible on this Potato leaf? The large, dark, water-soaked lesions are a key sign of Late Blight.",[3],disease_risk,pvvqa_argilla
What causative organism or condition produces these symptoms? The plant is affected by Bacterial Spot disease.,[3],disease_risk,pvvqa_argilla
I require a detailed account of this specimen and its visible condition. The condition is identified as Late Blight.,[3],disease_risk,pvvqa_argilla
Which pathological disorder is visible on this tomato plant specimen? The plant is affected by Bacterial Spot disease.,[3],disease_risk,pvvqa_argilla
Characterize the principal subject and distinctive traits visible in this picture. The plant is suffering from a fungal infection: Septoria Leaf Spot.,[3],disease_risk,pvvqa_argilla
Please deliver a thorough account of this plant and its visible status. The causal agent is the Tomato Yellow Leaf Curl Virus.,[3],disease_risk,pvvqa_argilla
"What is the comprehensive wellness state of this botanical sample? The large, dark, water-soaked lesions are a key sign of Late Blight.",[3],disease_risk,pvvqa_argilla
Which visible features and identifying attributes are present in this botanical sample? The diagnosis is Tomato Yellow Leaf Curl Virus (TYLCV).,[3],disease_risk,pvvqa_argilla
What causative elements are behind the deterioration of this tomato leaf? The plant is infected with Target Spot fungus.,[3],disease_risk,pvvqa_argilla
"I need a thorough characterization of this botanical sample and its condition. The numerous small, angular spots are characteristic of Bacterial Spot.",[3],disease_risk,pvvqa_argilla
"What underlying conditions are producing these symptoms on the tomato leaf? This is Bacterial Spot. Note the small, dark, water-soaked lesions.",[3],disease_risk,pvvqa_argilla
