text,labels,label_name,source
a heat stressed plant with scorched brown leaf tips showing red spots,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,[4],heat_stress,blip_caption
"a heat stressed plant with scorched brown leaf tips showing red, yellow, and green leaves",[4],heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing red and green leaves,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and green leaves,[4],heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing brown spots on the leaves,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,[4],heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing red and green spots,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots,[4],heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing brown spots on the leaves,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,[4],heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing red spots,[4],heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing red and black spots,[4],heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing rust and blotch,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and green leaves,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and green leaves,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,[4],heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing red and black spots,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots,[4],heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing red and green spots,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,[4],heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing rust on the leaves,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots on the leaves,[4],heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing red and green spots,[4],heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing black spots,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,[4],heat_stress,blip_caption
"a heat stressed plant with scorched brown leaf tips showing red, yellow, and green leaves",[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and brown spots on a leaf,[4],heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing red spots,[4],heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing red and black spots,[4],heat_stress,blip_caption
a crop plant with heat damage wilted tips and green leaves,[4],heat_stress,blip_caption
a heat stressed plant with scorched brown leaf tips showing red and green leaves,[4],heat_stress,blip_caption
