text,class_id,class_name
Orange-yellow powdery pustules on lower leaf surface. Corresponding pale spots visible on upper surface.,2,LEAF_RUST
Small circular orange-rust coloured spots on adaxial surface. Powdery spore deposits on abaxial side. Leaf tissue missing in irregular patches. Ragged edges at margin. Origin not confirmed.,2,LEAF_RUST
Rust-coloured patches on lower leaf. Upper surface pale above affected areas. Raised lesions on tender flush. Scattered distribution. Tips show some dieback.,2,LEAF_RUST
Yellow-orange raised pustules in irregular groups on leaf underside. Upper surface pale yellow above each cluster. Brown spots on new foliage. Raised texture at lesion centres. Shoot tips look unhealthy.,2,LEAF_RUST
Orange pustules coalescing on lower leaf surface. Leaves yellowing and dropping in severely affected patches.,2,LEAF_RUST
Orange-yellow powdery pustules on lower leaf surface. Corresponding pale spots visible on upper surface.,2,LEAF_RUST
Rust-coloured patches on lower leaf. Upper surface pale above affected areas. Fine stippling on upper surface. Some leaf curl. Could reflect feeding damage or other stress.,2,LEAF_RUST
Rust-orange raised spots with powdery texture on lower leaf surface. Upper surface shows corresponding pale patches. Leaf tissue missing in irregular patches. Ragged edges at margin. Origin not confirmed.,2,LEAF_RUST
Dense orange-yellow pustule clusters on abaxial leaf surface. Surrounding tissue yellowing rapidly. Holes and torn edges on leaf blade. Some veins exposed. Frass visible below.,2,LEAF_RUST
Rust-coloured spore masses on abaxial surface. Upper leaf shows yellow-orange chlorotic spots above each pustule. Raised lesions on tender flush. Scattered distribution. Tips show some dieback.,2,LEAF_RUST
Bright orange urediniospore pustules scattered on underside of leaves. Spores dust off when touched.,2,LEAF_RUST
Rust-coloured spore masses on abaxial surface. Upper leaf shows yellow-orange chlorotic spots above each pustule.,2,LEAF_RUST
Bright orange urediniospore pustules scattered on underside of leaves. Spores dust off when touched. Portions of leaf removed. Skeletonized areas on some leaves. Frass present nearby.,2,LEAF_RUST
Yellow-orange raised pustules in irregular groups on leaf underside. Upper surface pale yellow above each cluster.,2,LEAF_RUST
Orange pustules coalescing on lower leaf surface. Leaves yellowing and dropping in severely affected patches. Whitish flecks on leaf blade. Tip region most affected. Leaves feel dry.,2,LEAF_RUST
Orange deposits visible on leaf underside. Slow spread. Surrounding tissue slightly yellow. Holes and torn edges on leaf blade. Some veins exposed. Frass visible below.,2,LEAF_RUST
Orange deposits visible on leaf underside. Slow spread. Surrounding tissue slightly yellow.,2,LEAF_RUST
Yellow-orange raised pustules in irregular groups on leaf underside. Upper surface pale yellow above each cluster. Raised lesions on tender flush. Scattered distribution. Tips show some dieback.,2,LEAF_RUST
Rust-coloured spore masses on abaxial surface. Upper leaf shows yellow-orange chlorotic spots above each pustule.,2,LEAF_RUST
Orange deposits visible on leaf underside. Slow spread. Surrounding tissue slightly yellow. Raised lesions on tender flush. Scattered distribution. Tips show some dieback.,2,LEAF_RUST
Small circular orange-rust coloured spots on adaxial surface. Powdery spore deposits on abaxial side. Fine stippling on upper surface. Some leaf curl. Could reflect feeding damage or other stress.,2,LEAF_RUST
Small circular orange-rust coloured spots on adaxial surface. Powdery spore deposits on abaxial side. Browning from leaf tip progressing inward. Soft water-soaked appearance at active edge.,2,LEAF_RUST
Rust-coloured spore masses on abaxial surface. Upper leaf shows yellow-orange chlorotic spots above each pustule.,2,LEAF_RUST
