sample_index,true_label,unimodal_image_prediction,unimodal_image_confidence,unimodal_image_correct,unimodal_text_prediction,unimodal_text_confidence,unimodal_text_correct,standard_vlm_fusion_prediction,standard_vlm_fusion_confidence,standard_vlm_fusion_correct,proposed_multimodal_vlm_prediction,proposed_multimodal_vlm_confidence,proposed_multimodal_vlm_correct,proposed_effective_text_weight
0,0,2,0.5040006637573242,0,0,0.4875414967536926,1,0,0.37927043437957764,1,0,0.4185105264186859,1,0.699999988079071
1,0,0,0.4741009771823883,1,2,0.5752418637275696,0,3,0.47514376044273376,0,2,0.45153629779815674,0,0.699999988079071
2,0,0,0.5601763725280762,1,2,0.5705640912055969,0,0,0.3398379683494568,1,2,0.4635733366012573,0,0.699999988079071
3,0,2,0.42023006081581116,0,0,0.5037679672241211,1,0,0.4181489050388336,1,0,0.4535805583000183,1,0.699999988079071
4,0,0,0.3688873052597046,1,0,0.48601555824279785,1,0,0.3304910957813263,1,0,0.4508771002292633,1,0.699999988079071
5,0,3,0.7708716988563538,0,4,0.5546426177024841,0,3,0.7027039527893066,0,4,0.3916019797325134,0,0.699999988079071
6,0,0,0.41101840138435364,1,0,0.42232373356819153,1,0,0.38139620423316956,1,0,0.41893211007118225,1,0.699999988079071
7,0,0,0.4532545208930969,1,0,0.48207730054855347,1,0,0.6252109408378601,1,0,0.47343045473098755,1,0.699999988079071
8,0,3,0.4060515761375427,0,0,0.36778131127357483,1,3,0.6276195049285889,0,0,0.3516349196434021,1,0.699999988079071
9,0,0,0.6729604601860046,1,0,0.5220921635627747,1,0,0.5445906519889832,1,0,0.5673527121543884,1,0.699999988079071
10,1,3,0.5626863241195679,0,1,0.7643241882324219,1,3,0.5752961039543152,0,1,0.58281409740448,1,0.699999988079071
11,2,2,0.7305907607078552,1,2,0.45255762338638306,1,2,0.491639107465744,1,2,0.5359675288200378,1,0.699999988079071
12,2,2,0.7959656715393066,1,2,0.8081795573234558,1,2,0.7184958457946777,1,2,0.8045154213905334,1,0.699999988079071
13,2,0,0.4280886948108673,0,0,0.5858765244483948,0,0,0.4334132671356201,0,0,0.5385401844978333,0,0.699999988079071
14,2,2,0.6272241473197937,1,2,0.4714066684246063,1,4,0.3773740828037262,0,2,0.5181519389152527,1,0.699999988079071
15,2,2,0.8988891839981079,1,2,0.840137779712677,1,1,0.3968231976032257,0,2,0.8577632308006287,1,0.699999988079071
16,3,4,0.3320506811141968,0,3,0.7990756034851074,1,3,0.5002216696739197,1,3,0.6231127977371216,1,0.699999988079071
17,3,2,0.680054247379303,0,3,0.6964885592460632,1,3,0.3813280165195465,1,3,0.5163625478744507,1,0.699999988079071
18,3,0,0.44735586643218994,0,3,0.7121887803077698,1,3,0.5480830669403076,1,3,0.5570440888404846,1,0.699999988079071
19,3,2,0.350124716758728,0,3,0.8707250952720642,1,0,0.3985893726348877,0,3,0.6925157904624939,1,0.699999988079071
20,3,0,0.5089833736419678,0,3,0.8899603486061096,1,0,0.4406108856201172,0,3,0.7036474943161011,1,0.699999988079071
21,3,3,0.37712758779525757,1,3,0.6475897431373596,1,0,0.3768760859966278,0,3,0.5664510726928711,1,0.699999988079071
22,3,3,0.4848099946975708,1,3,0.8526037335395813,1,3,0.6844624280929565,1,3,0.7422656416893005,1,0.699999988079071
23,4,4,0.9369736313819885,1,4,0.8592848777770996,1,4,0.48301175236701965,1,4,0.8825915455818176,1,0.699999988079071
24,4,4,0.9422761797904968,1,4,0.8254051208496094,1,4,0.776801347732544,1,4,0.8604665398597717,1,0.699999988079071
25,4,4,0.8464381098747253,1,4,0.9198620915412903,1,4,0.4330921173095703,1,4,0.897834837436676,1,0.699999988079071
26,4,4,0.907595157623291,1,4,0.8235920071601868,1,4,0.581246554851532,1,4,0.8487929701805115,1,0.699999988079071
27,4,4,0.878301739692688,1,4,0.8998590111732483,1,2,0.5900802612304688,0,4,0.8933917284011841,1,0.699999988079071
28,4,4,0.9017747640609741,1,4,0.9166480898857117,1,4,0.6619968414306641,1,4,0.9121861457824707,1,0.699999988079071
29,4,4,0.8967276215553284,1,4,0.8134747743606567,1,4,0.4086208939552307,1,4,0.8384506106376648,1,0.699999988079071
